Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Todas las sucursales
Búsqueda por fechas,19/03/2026 - 09/04/2026
Generados,09/04/2026 09:55:52 a. m.

Envíos

Número de establecimiento que envía,Fecha de la transacción,Cargos totales,Fecha de pago,Monto del pago,Monto del descuento,IVA,Número de factura del monto del resumen de los cargos
7160841268,8/4/2026,MXN$ 473.80,13/4/2026,MXN$ 467.76,(MXN$ 5.21),(MXN$ 0.83),716084126860408
7460282536,8/4/2026,"MXN$ 7,340.75",13/4/2026,"MXN$ 7,247.08",(MXN$ 80.75),(MXN$ 12.92),746028253660408
7460282536,8/4/2026,"MXN$ 2,946.67",13/4/2026,"MXN$ 2,909.07",(MXN$ 32.41),(MXN$ 5.19),746028253660409
7460297294,8/4/2026,"MXN$ 9,733.49",13/4/2026,"MXN$ 9,609.29",(MXN$ 107.07),(MXN$ 17.13),746029729460408
7460297294,8/4/2026,"MXN$ 1,703.40",13/4/2026,"MXN$ 1,681.66",(MXN$ 18.74),(MXN$ 3.00),746029729460409
8130229545,8/4/2026,MXN$ 600.00,13/4/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06),813022954560409
8267599470,8/4/2026,MXN$ 500.00,13/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),826759947060408
8483272829,8/4/2026,MXN$ 300.00,13/4/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53),848327282960408
8488519166,8/4/2026,MXN$ 650.78,13/4/2026,MXN$ 642.47,(MXN$ 7.16),(MXN$ 1.15),848851916660408
9350041845,8/4/2026,"MXN$ 2,655.11",13/4/2026,"MXN$ 2,621.23",(MXN$ 29.21),(MXN$ 4.67),935004184560408
9350962107,8/4/2026,"MXN$ 2,379.00",13/4/2026,"MXN$ 2,348.64",(MXN$ 26.17),(MXN$ 4.19),000011
9350962107,8/4/2026,"MXN$ 6,410.08",13/4/2026,"MXN$ 6,328.29",(MXN$ 70.51),(MXN$ 11.28),935096210760408
9350962107,8/4/2026,"MXN$ 1,910.22",13/4/2026,"MXN$ 1,885.85",(MXN$ 21.01),(MXN$ 3.36),935096210760409
9351619052,8/4/2026,"MXN$ 1,208.87",13/4/2026,"MXN$ 1,193.44",(MXN$ 13.30),(MXN$ 2.13),935161905260408
9351619060,8/4/2026,MXN$ 283.72,13/4/2026,MXN$ 280.10,(MXN$ 3.12),(MXN$ 0.50),935161906060408
9351619078,8/4/2026,"MXN$ 1,093.95",13/4/2026,"MXN$ 1,079.99",(MXN$ 12.03),(MXN$ 1.93),935161907860408
9351619102,8/4/2026,"MXN$ 1,618.51",13/4/2026,"MXN$ 1,597.86",(MXN$ 17.80),(MXN$ 2.85),935161910260408
9351619110,8/4/2026,"MXN$ 4,339.16",13/4/2026,"MXN$ 4,283.79",(MXN$ 47.73),(MXN$ 7.64),935161911060408
